product_id,product_name,brand,category_lvl1,category_lvl2
11466760,Grandiôse Lancôme - Máscara Para Os Cílios 01,,Beleza e Perfumaria,Maquiagem
130788449,Escova Soft Brush 1000W - Philco,philco,Beleza e Perfumaria,Aparelhos elétricos para cabelo
18442566,Modelador de Cachos - Preto,,Beleza e Perfumaria,Cabelo
132540181,Oneblade QP2530/20 com 4 Pentes - Philips,,Beleza e Perfumaria,Barbearia
112186962,Secador de Cabelos Mondial Max Travel SC-10 Bivolt,mondial,Beleza e Perfumaria,Produtos para cabelo
113174007,Secador Infinity 2500 SC-12 Preto / Vermelho  - Mondial,mondial,Beleza e Perfumaria,Aparelhos elétricos para cabelo
112941067,Aparador de Pelos Philips Multigroom Series 3000 QG3340/16 com Acessórios,philips,Beleza e Perfumaria,Barbearia
124709011,Perfume Flower In the Air Kenzo Feminino - 100ml,kenzo,Beleza e Perfumaria,Perfumaria
23954092,Lixa Elétrica Pé Esfoliador Calosidades Pedicure Portátil,,Beleza e Perfumaria,Artigos de Salão de Beleza
16062770,Prancha Chapinha Nano Titanium 450 °F,,Beleza e Perfumaria,Cabelo
21777804,Escova Secadora Elétrica e Alisadora Styler,,Beleza e Perfumaria,Cabelo
18913368,Chapinha Prancha Profissional Nano Titanium 1 1/4 Até 450ºF - Bivolt,,Beleza e Perfumaria,Cabelo
19720727,Perfume Light Blue Feminino Eau De Toilette 100ml  Dolce Gabbana,,Beleza e Perfumaria,Perfumaria
112186989,Secador de Cabelos Mondial Style SC-11,mondial,Beleza e Perfumaria,Aparelhos elétricos para cabelo
111624490,Aparador de Pelos Philips BG2024/15 Seco & Molhado Bivolt,philips,Beleza e Perfumaria,Barbearia
132764723,Prancha Philco Titanium Fashion N Bivolt,,Beleza e Perfumaria,Aparelhos elétricos para cabelo
25792962,Máquina De Corte 110v Magic Prata/vermelha Wahl + Gel Roger,,Beleza e Perfumaria,Barbearia
122958719,Tratamento Aussie Moist 3 Minutes Miracle 236ml,aussie,Beleza e Perfumaria,Produtos para cabelo
25793422,Kit Prancha Chapinha Nano Titanium 450 °F e Modelador De Cachos Nano Titanium,,Beleza e Perfumaria,Cabelo
5710794,Perfume Euphoria Masculino Eau de Toilette 100 ml- Calvin Klein,calvin klein,Beleza e Perfumaria,Perfumaria
23277475,Prancha Escova Removedora De Pontas Duplas Fasiz Split Corte,,Beleza e Perfumaria,Barbearia
119829650,Aparador de Barba Philips QT4000/15 Bateria Recarregável,philips,Beleza e Perfumaria,Barbearia
27111041,Kit Chapinha Bivolt + Escova Secadora 110v + Modelador De Cachos Bivolt,,Beleza e Perfumaria,Cabelo
15559038,Kit De Sombras Maquiagem Maleta Profissional 77 Cores,,Beleza e Perfumaria,Maquiagem
29583937,Felps Profissional - Óleo de Marula 50ml,,Beleza e Perfumaria,Produtos para cabelo
23611988,Chapinha Nano Titanium Profissional Ate 450°F - Bivolt - Azul,,Beleza e Perfumaria,Cabelo
122055835,Prancha de Cabelo Britânia Tourmaline Aqua Bivolt Roxo e prata,britania,Beleza e Perfumaria,Aparelhos elétricos para cabelo
125264608,Barbeador Elétrico Aquatouch Série 5000 S5050/4,philips,Beleza e Perfumaria,Barbearia
28744283,Prancha Nano Titanium + Escova Mágica Alisadora ( Cores Sortidas),,Beleza e Perfumaria,Cabelo
14027973,The Original Thick  Curly Tangle Teezer - Escova Para Os Cabelos,,Beleza e Perfumaria,Cabelo
129591770,Máquina de Cortar Cabelo Wahl Clipper Corded Clipper  Bivolt com Fio,,Beleza e Perfumaria,Barbearia
12981976,Máscara Lanza Healing Moisture Moi Moi Hair Masque 200ml,,Beleza e Perfumaria,Cabelo
111825515,Escova Rotativa Ceramic Spin Ion Brush - Philco,philco,Beleza e Perfumaria,Aparelhos elétricos para cabelo
111586438,Depilador Elétrico Philips Satinelle HP6403/30,philips,Beleza e Perfumaria,Depilação
119371001,Kit Aparador de Pelos Philips Multigroom QG3339/15 Bateria Recarregável 12W,philips,Beleza e Perfumaria,Barbearia
113173979,Escova Rotativa Tourmaline Infinity Ion ER-03 - Mondial,mondial,Beleza e Perfumaria,Aparelhos elétricos para cabelo
23009692,Prancha BabyLiss Pro Nano Titanium 1 1/4 + Oleo de Argan 8ml,,Beleza e Perfumaria,Cabelo
23095324,Cortador De Cabelo Profissional Cobreo 2000 Cab800-127 - Cadence,,Beleza e Perfumaria,Barbearia
25793525,Escova Secadora Alisadora Almofadada Hair Dryer Com Cabo Giratório 360º,,Beleza e Perfumaria,Aparelhos elétricos para cabelo
7322294,Perfume CK Be Eau de Toilette 100ml - Calvin Klein,calvin klein,Beleza e Perfumaria,Perfumaria
26977450,Cabelo Humano Natural 65cm 100g,,Beleza e Perfumaria,Produtos para cabelo
16779420,Pure Focus Fluide Hydratant Lancôme - Hidratante,,Beleza e Perfumaria,Tratamento de Pele
23281472,Joico Moisture Recovery Treatment Balm Máscara Hidratante 500 Ml,,Beleza e Perfumaria,Cabelo
16784419,Máquina De Corte 127v Magic Prata/Vermelha Wahl,,Beleza e Perfumaria,Cabelo
18579526,Base Dermacol Embalagem De 4 Gramas Fracionada Cor 223,,Beleza e Perfumaria,Maquiagem
25066192,Escova Rotativa Real Beauty Pro 1000w 4 Em 1 Seca Escova Alisa E Modela Bivolt Cadence,,Beleza e Perfumaria,Aparelhos elétricos para cabelo
113174111,Modelador de Cachos Spiral Infinity EM-05 Mondial Preto e Vermelho,mondial,Beleza e Perfumaria,Cabelo
126825753,Máscara de Cílios Maybelline The Falsies Efeito Cílios Postiços Super Filme,maybelline,Beleza e Perfumaria,Maquiagem
7937113,Keune Água Oxigenada Tinta Cream Developer 1 L 20 vol,,Beleza e Perfumaria,Cabelo
6563012,Perfume CKin2u Feminino de Toilette 100 ml - Calvin Klein,calvin klein,Beleza e Perfumaria,Perfumaria
113174082,Cortador de Cabelos Mondial Classic Pro CR-03,mondial,Beleza e Perfumaria,Barbearia
