review_date,customer_id,product_id,rating,recommend_to_friend,review_title,review_text,sentiment
2018-01-01 06:05:50,33bba21e9131130728f945c135f08f0aafcb5abb422ee53855c58afe495baaa6,11466760,5,Yes,incrível!,"Máscara de cílios incrível, tenho pouquíssimo cílios e ela deu um super efeito! Amei!",Positive
2018-01-01 06:09:58,c64fba6b296db674d690787594b8c50dfb46d5a30e7159b86e9f53ce3c9016a8,130788449,4,Yes,Eficiente,"Cabelos alinhados, sem frizz e muito mais rápido do que com escova convencional. Aprovadíssimo.",Positive
2018-01-01 06:51:09,5be7d2822debc9fa857b033df66a66d8aee7e9fdf19d69f210cd2a1ac27138d0,18442566,5,Yes,excelente,"Excelente produto, esquenta, dá o formato desejado, adorei e recomendo",Positive
2018-01-01 07:33:34,8da4c516a83914b17c158671f6acb7cd4763f8a76494fa33debe7523f77a9eaa,132540181,5,Yes,Barbeador.,Aparelho de excelente qualidade. Faz o que promete.,Positive
2018-01-01 07:40:31,838f7696ac9a81029e31b19a551c0967c12aca39c3d613463704d911e2fe0955,112186962,4,Yes,Produto ótimo,"O produto correspondeu com  espectativa, realizando eficientemente a atividade que propunha.",Positive
2018-01-01 07:40:54,81ec0d2883004312011401058c850f5ab0f83ff5629ef3de6d00d8376ac5bf9a,113174007,5,Yes,Produto perfeito,"Um ótimo produto, atende super bem. E a entrega chegou antes da data estimada. Estou super satisfeita a loja americana é show só compro nas americana.",Positive
2018-01-01 07:43:07,4f6afe8aeb98a6689116548cd0881a60c6be4330cf29ca8c45660eaccd63f3ab,112941067,5,Yes,Ótimo custo benefício,"O aparelho é potente, e sua diversidade de ferramentas torna o produto muito completo.",Positive
2018-01-01 07:50:45,79b6496926c8e95d81a5d95dbbdb8886f4d2934ce69cac8f674aae9e22546700,124709011,5,Yes,Excelente,"Produto original, entrega rápida ,eu recomendo  e vou comprar novamente.",Positive
2018-01-01 07:59:07,5498c36e2c4ee3621152ef193825214179ead7ab036863229cf2583797b93383,23954092,1,No,Produto inútil,"O produto não serve para nada, o motor não tem potência suficiente para cumprir o que promete, a lixa não tira nem a a pele morta. Dinheiro jogado fora. Péssimo!!!!!",Negative
2018-01-01 08:04:04,9b256f0092ac55e451d35eaf8a5bcde213d53cfd96f297540bf4eec0610b2ecf,16062770,4,Yes,Gostei muito esquenta muito bem,Recomendo muito boa.otima qualidade a chapinha e chegou antes do prazo,Positive
2018-01-01 08:10:39,f696f898e74e5301d3bff0d138bbd8f4b73162c4aa88d8cbfad3c6a588d5d0aa,21777804,1,No,"descepcionada com o produto,ja veio com defeito.","o produto deveria ser testado antes do envio,pois o meu ja veio com defeito.",Negative
2018-01-01 08:36:48,853a52afbfe24de9181a256ffc43b3168da44a78d8b4811452a81fcfc315c260,18913368,1,No,Não recebi o produto.,"Aguardo o produto. Sem contato do fornecedor desde o dia 14/12. Enviei varios e-mail, relamei e não obtive retorno. Tava muito barato pra ser verdade mesmo...",Negative
2018-01-01 09:19:38,649ff3053e944c2c62fbdfdce2e28b19898dc34dd13c115a867eebf0c4baee8b,19720727,5,Yes,Um dos melhores perfumes,Entrega rápida apesar de levar um tempo para emitir a NF. Recomendado,Positive
2018-01-01 09:44:00,51566215ca0bddc16320438607db408a9d215825f8275754e44aedc5e3a30a75,112186989,4,Yes,Secador de cabelo,O tamanho foi a única coisa q achei diferente. Muito bom o produto e entrega rápida.,Positive
2018-01-01 09:54:50,872e88e9fcde60c319a0e1e9e06c108bb408f73f2bed6776023bc21d2301a160,111624490,4,Yes,Ótimo,"O produto cumpre com o anunciado. Funciona muito bem embaixo do chuveiro, não machuca a pele",Positive
2018-01-01 10:17:41,77bcb61a181be4f87bb05bb383990d955cc4e56bb34756f35556e88138c45aca,132764723,4,Yes,Bom produto,Ótimo custo benefício Americanas arrasando na entrega,Positive
2018-01-01 10:24:23,50d6e07038f38c1bb99b6d6f042e3bd744eaf4831cff533ab13b6fd975eb93f3,112941067,5,Yes,Muito Bom,"Entrega dentro do prazo, produto de qualidade, gostei bastante dos acessórios, a barbar bem próxima da feita com gilete e isso é muito bom pois tenho alergia as lâminas e com esse barbeador não fico encaroçado no rosto, usei a bateria que veio do aparelho umas 3x, durou bastante na minha opinião, recomendo.",Positive
2018-01-01 10:25:21,b48d5bc769a09e555719dec54a7f7f1d7b4c2daff084452a672ef25daf842b2d,25792962,4,Yes,Excelente produto,Recomendo o produto  alta qualidade Show de bola!!! Clean do clean,Positive
2018-01-01 10:26:42,60b222ebba4a68846515eb437a0107653ec80f13a36a018e343a485d6608d1e6,122958719,5,Yes,Muito bom,"Um dos melhores produtos que já usei, simplesmente perfeito entrega rápida como sempre! Melhor site de compras",Positive
2018-01-01 10:39:11,154bdb7790d9d29071aab3c99c330b7b2f8423889e500b5e12fe1cb18ac09210,25793422,5,Yes,"super indico,estou apaixonada","superou minhas expectativas,meu cabelo e de 70 cm fiquei com medo de não cachear,por   causa do tamanho,mas pegou todo o cabelo e fez cachos perfeitos,minha irma enlouqueceu, logo  fez  no dela e amou também, e já comprou o seu,esta ansiosa aguardando chegar,os cachos durão muito ameiiiiiiiiii.",Positive
2018-01-01 10:59:01,bfea23d2a6e724eb3030cc883497ecf1dcba58fc03d44648525206098fca15b8,5710794,1,No,Produto aparentemente falso,Produto aparentemente falso de pesima qualidade nunca pensei que uma loja como americanas aceitaria ser comecliza um produto desse não tenho mais coragem de compra perfumes na Americanas,Negative
2018-01-01 11:13:49,f39e8a09fcf9c991b845c3c2dcf4b14f7cf3d4e701bbba659380fd98a0acbd89,23277475,4,Yes,Otimo,Amei ... Excelente compra... Podem comprar ...aprovado... Veio td certinho e completo,Positive
2018-01-01 12:39:45,35f6a3d56a4de6d322fec62f65590f5d3322b3ff8cd21e913761f453f8fbe27b,119829650,3,Yes,Atendeu à expectativa.,O barulho do motor é alto demais! Existem concorrentes com motores muito mais silenciosos.,Neutral
2018-01-01 12:53:02,b090e62650c44443ee2c8abd02f9bd2d08dd19917ec0811389f8ecc1e04c94af,27111041,4,Yes,Cumpre o que promete,"Produto muito bom, recomendo. apesar de demorar um pouco pra chegar ,mas no final de tudo bem satisfatório..",Positive
2018-01-01 13:46:53,db6d21a4a783cb093c85e2cac0be39e46a8219a7f2bd47672c2fdcc4914e3170,16062770,1,No,Não posso avaliar pois ainda não recebi tal produto.,Realizei o pedido em seguida o pagamento porem minha mercadoria ainda não foi entregue. Estou super insatisfeita com a postura da loja em me enviar uma avaliação de um produto que ja se passaram 2 meses e não chegou!,Negative
2018-01-01 14:54:29,5efa9a24bfc3d50d05896c83b635387d37082840e7d37369ea98f4421356ba82,15559038,1,No,Entrega,Eu ainda não recebi o produto estou insastifeita e muito chateada com a demora da entrega é pq não houve nenhum comunicado dizendo oq ocorreu,Negative
2018-01-01 14:55:32,c37c36166b2eb81b2026c964ac6c8c06c48a1e562e97c8198625c31e74d3c6f6,29583937,5,Yes,Amei esse óleo,"Gostei do produto, entrega surper rápido.  Produto muito bom cumpre o que promete",Positive
2018-01-01 14:57:30,019fdc376b3388544339cc9737c0deff44a391baac0619a306d51076190eab6b,23611988,3,Yes,Gostei!,"Boa relação custo benefício. Esquenta bem, desliza fácil pelos cabelos, tendo um bom resultado.",Neutral
2018-01-01 14:58:53,777b10d6b8d6083a414c2e152125c0bf041f5b16861cf03c435e93245c9b49d1,122055835,3,Yes,Gostei do produto!,"A chapinha é boa, aquece bem mas demora um pouco para aquecer. Funciona bem com o cabelo úmido.",Neutral
2018-01-01 15:37:52,17bb2816d48d30b3c61e0bd93dd384a2645b698f748c02cd419bf59a13dd9018,125264608,1,No,NAO RECEBI O PRODUTO,,Negative
2018-01-01 16:58:04,6a687dc400fe7820cde4df9614dae606f0202ab1106f3409b4d92343954b8e5c,28744283,1,No,Não recebi meu produto,Não recebi meu produto ! Paguei mas não recebi .. E até agora não tive resposta nenhuma !! Péssimo,Negative
2018-01-01 17:29:36,0f81c345442def135410d1e90ee26c1980cbacaee2a0dbd8a95c40f5994d9cbb,14027973,5,Yes,Escova perfeita,"Desembaraça muito bem meu cabelo que é cacheado e fino. É bem resistente, um ótimo investimento.",Positive
2018-01-01 18:14:45,21d738ee84fe1db42c3d5b03b163aa55c5b6cde8225558c995aa4d80ecc4bba9,129591770,4,Yes,"Máquina boa, mas as lâminas esquentam","A máquina corta muito bem, seja barba ou cabelo, no entanto, ela possui um único contra, as lâminas esquentam muito e para fazer barba sem o pente é complicado.",Positive
